Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Publisher_Range
1196,Mafia II,PMOD,2010.0,Action,0.84,0.56,0.0,0.15,1.55,91-500
1201,BioShock 2,PMOD,2010.0,Action,0.85,0.47,0.02,0.22,1.55,91-500
1239,Mafia II,PMOD,2010.0,Action,0.5,0.72,0.04,0.26,1.52,91-500
1284,Major League Baseball 2K5,MOD,2005.0,Sports,0.72,0.56,0.0,0.19,1.48,91-500
1320,BioShock,PMOD,2008.0,Action,0.75,0.49,0.01,0.21,1.45,91-500
1321,Red Dead Revolver,MOD,2004.0,Action,0.71,0.55,0.0,0.19,1.45,91-500
1406,Duke Nukem: Time to Kill,ANT,1998.0,Action,0.77,0.54,0.0,0.07,1.38,91-500
1424,NBA 2K15,PMOD,2014.0,Sports,0.86,0.27,0.02,0.22,1.36,91-500
1443,Grand Theft Auto: Chinatown Wars,PMOD,2009.0,Action,0.59,0.57,0.05,0.14,1.35,91-500
1464,Max Payne 2: The Fall of Max Payne,MOD,2003.0,Action,0.65,0.51,0.0,0.17,1.34,91-500
1472,NBA 2K14,PMOD,2013.0,Sports,0.89,0.31,0.01,0.12,1.33,91-500
1539,Midnight Club 3: DUB Edition (America weekly sales),MOD,2005.0,Sports,1.22,0.05,0.0,0.01,1.29,91-500
1549,Manhunt,MOD,2003.0,Action,0.63,0.49,0.0,0.16,1.28,91-500
1559,NBA 2K9,PMOD,2008.0,Sports,1.0,0.16,0.0,0.11,1.27,91-500
1566,Rockstar Games presents Table Tennis,PMOD,2007.0,Sports,0.39,0.73,0.0,0.15,1.27,91-500
1648,Max Payne,MOD,2001.0,Action,0.98,0.19,0.0,0.05,1.22,91-500
1675,WWE 2K16,PMOD,2015.0,Sports,0.41,0.6,0.0,0.19,1.2,91-500
1686,WWE 2K14,PMOD,2013.0,Sports,0.49,0.49,0.0,0.21,1.19,91-500
1703,NBA 2K17,PMOD,2016.0,Sports,0.83,0.14,0.0,0.22,1.19,91-500
1746,Midnight Club 3: DUB Edition Remix,MOD,2006.0,Sports,0.97,0.04,0.0,0.16,1.16,91-500
1769,Red Dead Redemption: Undead Nightmare,PMOD,2010.0,Action,0.44,0.46,0.06,0.18,1.15,91-500
1784,Action Bass,ANT,2000.0,Action,0.64,0.43,0.0,0.07,1.14,91-500
1799,Royal Palace of White Sword and The City of Gentiles,MOD,2005.0,Misc,0.0,0.51,0.0,0.62,1.14,91-500
1810,WWE 2K15,PMOD,2014.0,Sports,0.38,0.56,0.0,0.19,1.13,91-500
1813,WWE 2K14,PMOD,2013.0,Sports,0.64,0.39,0.0,0.1,1.13,91-500
1898,Grand Theft Auto V,PC,2015.0,Action,0.36,0.64,0.0,0.08,1.08,91-500
1904,Grand Theft Auto: Chinatown Wars,PMOD,2009.0,Action,0.28,0.5,0.03,0.28,1.08,91-500
1923,Red Dead Redemption: Undead Nightmare,PMOD,2010.0,Action,0.57,0.39,0.02,0.09,1.07,91-500
1924,Bully: Scholarship Edition,PMOD,2008.0,Action,0.53,0.4,0.03,0.11,1.07,91-500
1958,Dora the Explorer: Dora Saves the Mermaids,PMOD,2007.0,Action,0.97,0.01,0.0,0.08,1.06,91-500
2098,Midnight Club: LA Remix,PMOD,2008.0,Sports,0.52,0.28,0.0,0.19,0.99,91-500
2122,Grand Theft Auto: San Andreas,PC,2005.0,Action,0.0,0.92,0.0,0.05,0.98,91-500
2134,NBA 2K10,PMOD,2009.0,Sports,0.88,0.02,0.0,0.08,0.97,91-500
2140,Grand Theft Auto: Vice City Stories,MOD,2007.0,Action,0.78,0.03,0.03,0.13,0.97,91-500
2141,NBA 2K16,PMOD,2015.0,Sports,0.77,0.1,0.0,0.1,0.97,91-500
2190,Evolve,PMOD,2015.0,Action,0.35,0.41,0.05,0.15,0.95,91-500
2215,Bully,MOD,2006.0,Action,0.75,0.03,0.04,0.12,0.94,91-500
2222,Nickelodeon Fit,PMOD,2010.0,Sports,0.78,0.09,0.0,0.06,0.93,91-500
2226,Borderlands 2,PC,2012.0,Action,0.42,0.41,0.0,0.11,0.93,91-500
2359,Grand Theft Auto IV,PC,2008.0,Action,0.01,0.79,0.0,0.08,0.88,91-500
2365,NBA 2K6,MOD,2005.0,Action,0.43,0.34,0.0,0.11,0.88,91-500
2379,NBA 2K14,PMOD,2013.0,Sports,0.7,0.11,0.0,0.06,0.87,91-500
2435,NBA 2K8,PMOD,2007.0,Sports,0.79,0.0,0.0,0.07,0.85,91-500
2445,WWE 2K15,PMOD,2014.0,Sports,0.36,0.35,0.0,0.14,0.85,91-500
2460,NBA 2K10,PMOD,2009.0,Sports,0.75,0.01,0.01,0.07,0.84,91-500
2471,Duke Nukem Forever,PMOD,2011.0,Action,0.52,0.25,0.0,0.07,0.84,91-500
2473,Borderlands: The Handsome Collection,PMOD,2015.0,Action,0.36,0.32,0.03,0.14,0.84,91-500
2488,Borderlands 2,PMOD,2014.0,Action,0.43,0.21,0.01,0.19,0.83,91-500
2498,Sid Meier's Civilization Revolution,PMOD,2008.0,Strategy,0.58,0.17,0.0,0.07,0.83,91-500
2579,NBA 2K16,PMOD,2015.0,Sports,0.44,0.19,0.03,0.13,0.8,91-500
2608,Motocross Mania,ANT,2001.0,Sports,0.44,0.3,0.0,0.05,0.79,91-500
2623,Sid Meier's Civilization Revolution,PMOD,2008.0,Strategy,0.49,0.19,0.01,0.1,0.79,91-500
2650,NBA 2K7,MOD,2006.0,Sports,0.65,0.02,0.0,0.11,0.78,91-500
2668,Duke Nukem Forever,PMOD,2011.0,Action,0.33,0.31,0.0,0.12,0.77,91-500
2725,Rockstar Games presents Table Tennis,PMOD,2006.0,Sports,0.28,0.39,0.0,0.09,0.76,91-500
2759,Borderlands: The Pre-Sequel,PMOD,2014.0,Action,0.46,0.22,0.01,0.06,0.75,91-500
2780,Midnight Club 3: DUB Edition,MOD,2005.0,Sports,0.61,0.1,0.0,0.03,0.74,91-500
2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,0.26,0.36,0.0,0.1,0.72,91-500
2866,Top Spin 4,PMOD,2011.0,Sports,0.17,0.4,0.0,0.14,0.71,91-500
2943,WWE 2K15,PMOD,2014.0,Sports,0.38,0.26,0.0,0.06,0.69,91-500
3014,The Darkness,PMOD,2007.0,Action,0.2,0.34,0.0,0.13,0.67,91-500
3036,BioShock Infinite,PC,2013.0,Action,0.28,0.3,0.0,0.08,0.67,91-500
3049,Borderlands: The Pre-Sequel,PMOD,2014.0,Action,0.25,0.26,0.05,0.11,0.67,91-500
3053,Pro Pinball: Big Race USA,ANT,1999.0,Misc,0.37,0.25,0.0,0.04,0.66,91-500
3144,Max Payne 2: The Fall of Max Payne,MOD,2003.0,Action,0.47,0.15,0.0,0.02,0.64,91-500
3147,NBA 2K17,PMOD,2016.0,Sports,0.54,0.04,0.0,0.07,0.64,91-500
3149,XCOM: Enemy Unknown,PMOD,2012.0,Strategy,0.36,0.23,0.0,0.05,0.64,91-500
3254,Evolve,PMOD,2015.0,Action,0.36,0.2,0.0,0.06,0.62,91-500
3286,NBA 2K9,PMOD,2008.0,Sports,0.56,0.0,0.0,0.05,0.61,91-500
3297,New Carnival Games,PMOD,2010.0,Misc,0.35,0.21,0.0,0.05,0.61,91-500
3345,NBA 2K8,MOD,2007.0,Sports,0.5,0.02,0.0,0.08,0.6,91-500
3370,XCOM: Enemy Unknown,PMOD,2012.0,Strategy,0.24,0.25,0.0,0.11,0.6,91-500
3412,Go Diego Go! Great Dinosaur Rescue,PMOD,2008.0,Action,0.53,0.02,0.0,0.04,0.59,91-500
3440,Top Spin 3,PMOD,2008.0,Action,0.15,0.37,0.0,0.07,0.58,91-500
3458,WWE 2K16,PMOD,2015.0,Sports,0.31,0.22,0.0,0.05,0.58,91-500
3484,NBA 2K7,PMOD,2006.0,Sports,0.53,0.0,0.0,0.04,0.58,91-500
3485,WWE 2K16,PMOD,2015.0,Sports,0.21,0.27,0.0,0.09,0.58,91-500
3505,Top Spin 3,PMOD,2008.0,Action,0.08,0.37,0.0,0.12,0.57,91-500
3542,Dora The Explorer: Dora Saves the Snow Princess,PMOD,2008.0,Action,0.5,0.03,0.0,0.04,0.57,91-500
3548,Spec Ops: The Line,PMOD,2012.0,Action,0.19,0.25,0.04,0.09,0.57,91-500
3558,Top Spin 3,PMOD,2008.0,Action,0.09,0.4,0.0,0.07,0.57,91-500
3594,Manhunt 2,MOD,2007.0,Action,0.27,0.21,0.0,0.07,0.56,91-500
3613,Major League Baseball 2K5,MOD,2005.0,Sports,0.52,0.02,0.0,0.02,0.56,91-500
3615,WWE 2K15,PMOD,2014.0,Sports,0.28,0.23,0.0,0.04,0.56,91-500
3660,NBA 2K8,PMOD,2007.0,Sports,0.5,0.01,0.0,0.05,0.55,91-500
3687,Red Dead Revolver,MOD,2004.0,Action,0.4,0.12,0.0,0.02,0.55,91-500
3714,Manhunt 2,PMOD,2007.0,Action,0.25,0.23,0.0,0.06,0.54,91-500
3809,Oni,MOD,2001.0,Action,0.26,0.2,0.0,0.07,0.53,91-500
3812,The Warriors,MOD,2005.0,Action,0.44,0.02,0.0,0.07,0.53,91-500
3815,Go Diego Go! Safari Rescue,PMOD,2008.0,Action,0.48,0.01,0.0,0.04,0.53,91-500
3850,Bully: Scholarship Edition,PMOD,2008.0,Action,0.17,0.29,0.0,0.06,0.52,91-500
3911,Major League Baseball 2K10,PMOD,2010.0,Sports,0.47,0.0,0.0,0.04,0.51,91-500
3930,NBA 2K11,PMOD,2010.0,Action,0.47,0.01,0.0,0.03,0.51,91-500
3932,The BIGS,MOD,2007.0,Sports,0.25,0.19,0.0,0.06,0.51,91-500
3959,Midnight Club II,MOD,2003.0,Sports,0.42,0.06,0.0,0.02,0.5,91-500
3971,WWE 2K16,PMOD,2015.0,Sports,0.27,0.19,0.0,0.04,0.5,91-500
3996,Major League Baseball 2K12,PMOD,2012.0,Sports,0.47,0.0,0.0,0.03,0.5,91-500
4115,Go Diego Go! Great Dinosaur Rescue,PMOD,2008.0,Action,0.44,0.01,0.0,0.03,0.48,91-500
4129,Nickelodeon Team Umizoomi,PMOD,2011.0,Action,0.45,0.0,0.0,0.03,0.48,91-500
4206,Major League Baseball 2K13,PMOD,2013.0,Sports,0.44,0.0,0.0,0.03,0.47,91-500
4250,Sid Meier's Civilization Revolution,PMOD,2008.0,Strategy,0.38,0.03,0.02,0.04,0.46,91-500
4252,Dora The Explorer: Dora Saves the Snow Princess,PMOD,2008.0,Action,0.27,0.16,0.0,0.04,0.46,91-500
4330,NBA 2K13,PMOD,2012.0,Sports,0.39,0.03,0.0,0.03,0.45,91-500
4337,Major League Baseball 2K11,PMOD,2011.0,Sports,0.4,0.03,0.0,0.03,0.45,91-500
4448,The Darkness,PMOD,2007.0,Action,0.36,0.04,0.01,0.04,0.44,91-500
4497,Dora the Explorer: Dora Puppy,PMOD,2009.0,Misc,0.39,0.01,0.0,0.03,0.43,91-500
4502,Spec Ops: Covert Assault,ANT,2001.0,Action,0.24,0.16,0.0,0.03,0.43,91-500
4527,Spec Ops: The Line,PMOD,2012.0,Action,0.21,0.19,0.0,0.04,0.43,91-500
4535,Max Payne 3,PC,2012.0,Action,0.15,0.22,0.0,0.06,0.43,91-500
4579,NHL 2K6,MOD,2005.0,Sports,0.21,0.16,0.0,0.05,0.42,91-500
4589,Top Spin 4,PMOD,2011.0,Sports,0.15,0.23,0.0,0.04,0.42,91-500
4658,NBA 2K11,PMOD,2010.0,Action,0.39,0.0,0.0,0.03,0.42,91-500
4691,BioShock,PC,2007.0,Action,0.01,0.39,0.0,0.02,0.41,91-500
4698,Grudge Warriors,ANT,1999.0,Action,0.23,0.16,0.0,0.03,0.41,91-500
4753,NBA 2K11,MOD,2010.0,Action,0.34,0.01,0.0,0.06,0.41,91-500
4757,NBA 2K9,MOD,2008.0,Sports,0.34,0.01,0.0,0.06,0.41,91-500
4764,Duke Nukem Forever,PC,2011.0,Action,0.18,0.17,0.0,0.06,0.41,91-500
4771,Borderlands: The Handsome Collection,PMOD,2015.0,Action,0.24,0.13,0.0,0.04,0.41,91-500
4797,NBA 2K10,MOD,2009.0,Sports,0.33,0.01,0.0,0.05,0.4,91-500
4841,Mafia II,PC,2010.0,Action,0.17,0.17,0.0,0.06,0.4,91-500
4881,Fantastic Four: Rise of the Silver Surfer,MOD,2007.0,Action,0.19,0.15,0.0,0.05,0.39,91-500
4888,NBA 2K10,PMOD,2009.0,Sports,0.36,0.0,0.0,0.03,0.39,91-500
4908,The Darkness II,PMOD,2012.0,Action,0.24,0.12,0.0,0.03,0.39,91-500
4913,Thrasher Presents: Skate and Destroy,ANT,1998.0,Sports,0.22,0.15,0.0,0.03,0.39,91-500
5031,NBA 2K7,PMOD,2006.0,Sports,0.3,0.04,0.0,0.04,0.38,91-500
5037,Dora The Explorer: Dora Saves the Snow Princess,MOD,2008.0,Action,0.19,0.15,0.0,0.05,0.38,91-500
5101,The BIGS,PMOD,2007.0,Sports,0.34,0.0,0.0,0.03,0.37,91-500
5152,Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,0.11,0.22,0.0,0.03,0.37,91-500
5200,NHL 2K10,PMOD,2009.0,Sports,0.33,0.01,0.0,0.03,0.36,91-500
5205,NBA 2K6,MOD,2005.0,Action,0.27,0.08,0.0,0.01,0.36,91-500
5222,NBA 2K12,PMOD,2011.0,Sports,0.3,0.03,0.0,0.02,0.36,91-500
5236,Disney's The Haunted Mansion,MOD,2003.0,Action,0.18,0.14,0.0,0.05,0.36,91-500
5259,NHL 2K10,MOD,2009.0,Sports,0.17,0.14,0.0,0.05,0.36,91-500
5262,Wonder Pets! Save the Animals!,PMOD,2008.0,Misc,0.33,0.0,0.0,0.02,0.36,91-500
5320,College Hoops 2K8,MOD,2007.0,Sports,0.17,0.13,0.0,0.04,0.35,91-500
5464,The Darkness II,PMOD,2012.0,Action,0.14,0.14,0.0,0.05,0.33,91-500
5549,"Carnival Games: Monkey See, Monkey Do!",PMOD,2011.0,Misc,0.14,0.16,0.0,0.03,0.33,91-500
5572,Major League Baseball 2K6,MOD,2006.0,Sports,0.24,0.07,0.0,0.01,0.33,91-500
5578,NBA 2K10,PMOD,2009.0,Sports,0.3,0.0,0.0,0.03,0.32,91-500
5611,Prey,PMOD,2006.0,Action,0.27,0.03,0.0,0.03,0.32,91-500
5612,Birthday Party Bash,PMOD,2009.0,Misc,0.3,0.0,0.0,0.02,0.32,91-500
5622,"Go, Diego, Go!: Great Dinosaur Rescue",MOD,2008.0,Action,0.16,0.12,0.0,0.04,0.32,91-500
5664,Manhunt 2,PMOD,2007.0,Action,0.04,0.18,0.0,0.1,0.32,91-500
5748,KISS Pinball,ANT,2001.0,Action,0.17,0.12,0.0,0.02,0.31,91-500
5759,Bass Hunter 64,MOD,1999.0,Sports,0.25,0.06,0.0,0.0,0.31,91-500
5887,Monster Truck Madness 64,MOD,1999.0,Sports,0.24,0.06,0.0,0.0,0.3,91-500
5966,The BIGS 2,PMOD,2009.0,Sports,0.26,0.01,0.0,0.02,0.29,91-500
5994,The Bureau: XCOM Declassified,PMOD,2013.0,Action,0.08,0.16,0.0,0.05,0.29,91-500
6020,Ford Mustang: The Legend Lives,MOD,2005.0,Sports,0.14,0.11,0.0,0.04,0.29,91-500
6073,Borderlands: The Pre-Sequel,PC,2014.0,Action,0.11,0.15,0.0,0.03,0.29,91-500
6122,The Warriors,MOD,2005.0,Action,0.21,0.06,0.0,0.01,0.28,91-500
6125,NHL 2K11,PMOD,2010.0,Sports,0.24,0.02,0.0,0.02,0.28,91-500
6217,The Warriors,PMOD,2007.0,Action,0.23,0.02,0.0,0.03,0.28,91-500
6253,NBA 2K12,PMOD,2011.0,Sports,0.22,0.03,0.0,0.03,0.28,91-500
6266,Q-Ball: Billiards Master,MOD,2000.0,Sports,0.13,0.1,0.0,0.04,0.27,91-500
6368,Major League Baseball 2K10,PMOD,2010.0,Sports,0.25,0.0,0.0,0.02,0.27,91-500
6387,Dora the Explorer: Dora Saves the Crystal Kingdom,PMOD,2009.0,Misc,0.24,0.01,0.0,0.02,0.27,91-500
6396,The BIGS,PMOD,2007.0,Sports,0.18,0.08,0.0,0.0,0.27,91-500
6425,Major League Baseball 2K9,PMOD,2009.0,Sports,0.25,0.0,0.0,0.02,0.27,91-500
6435,Don King Boxing,PMOD,2009.0,Sports,0.14,0.1,0.0,0.03,0.27,91-500
6445,All-Pro Football 2K8,PMOD,2007.0,Sports,0.24,0.0,0.0,0.02,0.26,91-500
6456,Rune: Viking Warlord,MOD,2001.0,Action,0.13,0.1,0.0,0.03,0.26,91-500
6483,Ford Racing 3,MOD,2004.0,Sports,0.13,0.1,0.0,0.03,0.26,91-500
6507,The Elder Scrolls IV: Oblivion,PC,2006.0,Misc,0.01,0.2,0.0,0.05,0.26,91-500
6591,The Backyardigans,PMOD,2009.0,Misc,0.24,0.0,0.0,0.02,0.26,91-500
6605,Nickelodeon Dance,PMOD,2011.0,Misc,0.23,0.01,0.0,0.02,0.26,91-500
6624,Surfing H3O,MOD,2000.0,Sports,0.12,0.1,0.0,0.03,0.25,91-500
6685,Don King Presents: Prizefighter,PMOD,2008.0,Sports,0.14,0.08,0.0,0.02,0.25,91-500
6689,Wheel of Fortune,MOD,1997.0,Misc,0.2,0.05,0.0,0.0,0.25,91-500
6707,L.A. Noire: The Complete Edition,PC,2011.0,Misc,0.08,0.13,0.0,0.04,0.25,91-500
6883,Ghost Rider,PMOD,2007.0,Action,0.22,0.0,0.0,0.02,0.24,91-500
6907,Grand Theft Auto,MOD,2004.0,Action,0.17,0.06,0.0,0.0,0.24,91-500
6945,The Bureau: XCOM Declassified,PMOD,2013.0,Action,0.1,0.12,0.0,0.02,0.24,91-500
6955,New Carnival Games,PMOD,2010.0,Misc,0.16,0.05,0.0,0.02,0.23,91-500
7029,NBA 2K6,PMOD,2005.0,Action,0.21,0.01,0.0,0.02,0.23,91-500
7051,Major League Baseball 2K10,MOD,2010.0,Sports,0.11,0.09,0.0,0.03,0.23,91-500
7053,Mafia,MOD,2004.0,Action,0.17,0.05,0.0,0.01,0.23,91-500
7135,Spec Ops: The Line,PC,2012.0,Action,0.11,0.09,0.0,0.03,0.23,91-500
7182,Battleborn,PMOD,2016.0,Action,0.09,0.08,0.01,0.04,0.22,91-500
7283,Saltwater Sportfishing,ANT,2001.0,Sports,0.12,0.08,0.0,0.01,0.22,91-500
7340,College Hoops 2K7,PMOD,2006.0,Sports,0.2,0.0,0.0,0.02,0.21,91-500
7359,The BIGS 2,PMOD,2009.0,Sports,0.19,0.01,0.0,0.02,0.21,91-500
7364,NHL 2K6,MOD,2005.0,Sports,0.16,0.05,0.0,0.01,0.21,91-500
7366,World Poker Tour,MOD,2005.0,Misc,0.1,0.08,0.0,0.03,0.21,91-500
7526,Major League Baseball 2K11,PMOD,2011.0,Sports,0.15,0.03,0.0,0.02,0.2,91-500
7532,Midnight Club 3: DUB Edition Remix,MOD,2006.0,Sports,0.15,0.04,0.0,0.01,0.2,91-500
7566,XCOM 2,PC,2016.0,Strategy,0.09,0.1,0.0,0.02,0.2,91-500
7594,"Ni Hao, Kai-lan: New Year's Celebration",PMOD,2009.0,Misc,0.19,0.0,0.0,0.01,0.2,91-500
7644,The BIGS 2,MOD,2009.0,Sports,0.1,0.08,0.0,0.03,0.2,91-500
7653,BioShock The Collection,PMOD,2016.0,Action,0.05,0.11,0.01,0.03,0.2,91-500
7678,Sid Meier's Pirates!,PMOD,2007.0,Strategy,0.16,0.01,0.0,0.02,0.2,91-500
7717,Family Guy,PMOD,2006.0,Action,0.18,0.0,0.0,0.02,0.2,91-500
7755,"Ni Hao, Kai-lan: Super Game Day",PMOD,2009.0,Misc,0.18,0.0,0.0,0.01,0.19,91-500
7774,Manhunt,MOD,2004.0,Action,0.14,0.04,0.0,0.01,0.19,91-500
7808,Major League Baseball 2K12,PMOD,2012.0,Sports,0.18,0.0,0.0,0.01,0.19,91-500
7881,NBA 2K11,PC,2010.0,Action,0.18,0.0,0.0,0.01,0.19,91-500
7999,Major League Baseball 2K10,PMOD,2010.0,Sports,0.17,0.0,0.0,0.01,0.18,91-500
8010,Close Combat: First to Fight,MOD,2005.0,Action,0.14,0.04,0.0,0.01,0.18,91-500
8018,Ringling Bros. and Barnum & Bailey Circus,PMOD,2009.0,Action,0.17,0.0,0.0,0.01,0.18,91-500
8029,Evolve,PC,2015.0,Action,0.07,0.1,0.0,0.01,0.18,91-500
8035,Borderlands,PC,2009.0,Action,0.01,0.14,0.0,0.04,0.18,91-500
8156,Ball Breakers,ANT,2000.0,Action,0.1,0.07,0.0,0.01,0.18,91-500
8165,College Hoops 2K7,PMOD,2007.0,Sports,0.16,0.0,0.0,0.01,0.18,91-500
8191,College Hoops 2K8,PMOD,2007.0,Sports,0.16,0.0,0.0,0.01,0.18,91-500
8242,Major League Baseball 2K6,ANT,2006.0,Sports,0.13,0.03,0.0,0.0,0.17,91-500
8264,NHL 2K9,PMOD,2008.0,Sports,0.15,0.01,0.0,0.01,0.17,91-500
8292,Ringling Bros. and Barnum & Bailey: Circus Friends,PMOD,2009.0,Action,0.16,0.0,0.0,0.01,0.17,91-500
8301,Top Spin 2,PMOD,2006.0,Sports,0.15,0.01,0.0,0.01,0.17,91-500
8352,Sid Meier's Civilization IV,PC,2005.0,Strategy,0.02,0.12,0.0,0.03,0.17,91-500
8392,State of Emergency,MOD,2003.0,Action,0.13,0.04,0.0,0.01,0.17,91-500
8425,"Go, Diego, Go! Safari Rescue",PMOD,2007.0,Misc,0.15,0.01,0.0,0.01,0.17,91-500
8467,Sid Meier's Pirates!,PMOD,2010.0,Strategy,0.13,0.02,0.0,0.01,0.16,91-500
8480,Dungeon Siege: Throne of Agony,PMOD,2006.0,Misc,0.13,0.02,0.0,0.02,0.16,91-500
8528,Major League Baseball 2K12,PMOD,2012.0,Sports,0.15,0.0,0.0,0.01,0.16,91-500
8556,The BIGS,PMOD,2007.0,Sports,0.15,0.0,0.0,0.01,0.16,91-500
8578,Major League Baseball 2K11,PMOD,2011.0,Sports,0.15,0.0,0.0,0.01,0.16,91-500
8580,NBA 2K12,PC,2011.0,Sports,0.09,0.05,0.0,0.02,0.16,91-500
8623,Amped 3,PMOD,2005.0,Sports,0.13,0.02,0.0,0.01,0.16,91-500
8653,Nicktoons: MLB,PMOD,2011.0,Sports,0.15,0.0,0.0,0.01,0.16,91-500
8715,Top Spin 4,PMOD,2011.0,Sports,0.05,0.09,0.0,0.02,0.16,91-500
8740,All-Pro Football 2K8,PMOD,2007.0,Sports,0.14,0.0,0.0,0.01,0.15,91-500
8745,NHL 2K10,PMOD,2009.0,Sports,0.13,0.01,0.0,0.01,0.15,91-500
8802,Major League Baseball 2K10,PMOD,2010.0,Sports,0.14,0.0,0.0,0.01,0.15,91-500
8807,Fantastic Four: Rise of the Silver Surfer,PMOD,2007.0,Action,0.12,0.02,0.0,0.02,0.15,91-500
8818,Serious Sam,MOD,2002.0,Action,0.11,0.03,0.0,0.01,0.15,91-500
8865,Space Station Silicon Valley,MOD,1997.0,Misc,0.12,0.03,0.0,0.0,0.15,91-500
8893,Major League Baseball 2K13,PMOD,2013.0,Sports,0.14,0.0,0.0,0.01,0.15,91-500
8925,Baseball Blast!,PMOD,2009.0,Sports,0.14,0.0,0.0,0.01,0.15,91-500
8936,NHL 2K10,PMOD,2009.0,Sports,0.11,0.02,0.0,0.01,0.15,91-500
9113,The Da Vinci Code,MOD,2006.0,Action,0.07,0.05,0.0,0.02,0.14,91-500
9190,Sid Meier's Pirates!,MOD,2005.0,Strategy,0.11,0.03,0.0,0.01,0.14,91-500
9201,The Darkness II,PC,2012.0,Action,0.1,0.03,0.0,0.01,0.14,91-500
9216,College Hoops 2K8,PMOD,2007.0,Sports,0.13,0.0,0.0,0.01,0.14,91-500
9228,NBA 2K13,PMOD,2012.0,Sports,0.08,0.04,0.0,0.01,0.14,91-500
9256,Let's Cheer,PMOD,2011.0,Misc,0.12,0.0,0.0,0.01,0.14,91-500
9260,Major League Baseball 2K8,PMOD,2008.0,Sports,0.13,0.0,0.0,0.01,0.14,91-500
9344,NHL 2K8,PMOD,2007.0,Sports,0.11,0.01,0.0,0.01,0.13,91-500
9358,NHL 2K9,PMOD,2008.0,Sports,0.11,0.01,0.0,0.01,0.13,91-500
9388,NHL 2K9,MOD,2008.0,Sports,0.07,0.05,0.0,0.02,0.13,91-500
9446,The BIGS 2,PMOD,2009.0,Sports,0.12,0.0,0.0,0.01,0.13,91-500
9505,Nicktoons: MLB,PMOD,2011.0,Sports,0.12,0.0,0.0,0.01,0.13,91-500
9525,Borderlands: Double Game Add-On Pack,PMOD,2010.0,Action,0.1,0.02,0.0,0.01,0.13,91-500
9580,City Crisis,MOD,2001.0,Misc,0.06,0.05,0.0,0.02,0.13,91-500
9588,Torino 2006,MOD,2006.0,Sports,0.06,0.05,0.0,0.02,0.13,91-500
9638,The Stronghold Collection,PC,2009.0,Strategy,0.03,0.08,0.0,0.02,0.13,91-500
9648,Battleborn,PMOD,2016.0,Action,0.08,0.04,0.0,0.01,0.13,91-500
9672,NHL 2K7,PMOD,2006.0,Sports,0.11,0.0,0.0,0.01,0.12,91-500
9750,Major League Baseball 2K8 Fantasy All-Stars,PMOD,2008.0,Sports,0.11,0.0,0.0,0.01,0.12,91-500
9774,Zathura,MOD,2005.0,Misc,0.06,0.05,0.0,0.02,0.12,91-500
9828,Dora the Explorer: Dora Saves the Mermaids,MOD,2008.0,Action,0.06,0.05,0.0,0.02,0.12,91-500
9829,Grand Theft Auto: San Andreas,PMOD,2008.0,Action,0.08,0.03,0.0,0.01,0.12,91-500
9834,College Hoops 2K6,PMOD,2006.0,Sports,0.11,0.0,0.0,0.01,0.12,91-500
9985,Fantastic Four: Rise of the Silver Surfer,PMOD,2007.0,Action,0.1,0.01,0.0,0.01,0.12,91-500
10014,Nickelodeon Dance,PMOD,2011.0,Misc,0.08,0.02,0.0,0.01,0.11,91-500
10147,Dora's Big Birthday Adventure,PMOD,2010.0,Misc,0.1,0.01,0.0,0.01,0.11,91-500
10334,The BIGS,PMOD,2007.0,Sports,0.1,0.0,0.0,0.01,0.11,91-500
10375,Martian Gothic: Unification,ANT,2001.0,Misc,0.06,0.04,0.0,0.01,0.11,91-500
10381,"Grand Theft Auto: Mission Pack #1, London 1969",ANT,1998.0,Misc,0.06,0.04,0.0,0.01,0.11,91-500
10431,Top Spin,MOD,2005.0,Sports,0.05,0.04,0.0,0.01,0.1,91-500
10449,Motocross Mania 3,MOD,2004.0,Sports,0.05,0.04,0.0,0.01,0.1,91-500
10478,Nicktoons: MLB,PMOD,2011.0,Sports,0.1,0.0,0.0,0.01,0.1,91-500
10518,Dora's Cooking Club,PMOD,2010.0,Misc,0.08,0.01,0.0,0.01,0.1,91-500
10535,Dora & Kai-Lan's Pet Shelter,PMOD,2011.0,Strategy,0.08,0.01,0.0,0.01,0.1,91-500
10587,Disney's The Haunted Mansion,ANT,2003.0,Action,0.08,0.02,0.0,0.0,0.1,91-500
10654,NHL 2K6,PMOD,2005.0,Sports,0.09,0.0,0.0,0.01,0.1,91-500
10679,College Hoops 2K6,MOD,2005.0,Sports,0.07,0.02,0.0,0.0,0.1,91-500
10718,The BIGS 2,PMOD,2009.0,Sports,0.09,0.0,0.0,0.01,0.1,91-500
10755,Major League Baseball 2K11,PMOD,2011.0,Sports,0.09,0.0,0.0,0.01,0.1,91-500
10835,Ghostbusters: The Video Game (DS Version),PC,2010.0,Action,0.0,0.08,0.0,0.02,0.09,91-500
10875,Scaler,MOD,2004.0,Action,0.05,0.04,0.0,0.01,0.09,91-500
10898,Ford Mustang: The Legend Lives,MOD,2005.0,Sports,0.07,0.02,0.0,0.0,0.09,91-500
